Year,Gender,Name,Team
2023,F,Grace Washburn,Melanzana Cycling
2023,F,Jenna Rodgers,Alpha Chi Omega
2023,F,Abby Green,Melanzana Cycling
2023,F,Sydney Ruff,Kappa Kappa Gamma
2023,F,Rachael Miller,SKI
2023,F,Shannon Kerr,Delta Gamma
2023,F,Clare Bruen,Alpha Chi Omega
2023,F,Audrey La Valle,Kappa Alpha Theta
2023,M,Josh Herbst,Delta Tau Delta
2023,M,Torin Kray-Mawhorr,CUTTERS
2023,M,Carson Etnyre,Phi Kappa Psi
2023,M,Will Pitts,Sigma Phi Epsilon
2023,M,Jonathan Frazier,Chi Alpha
2023,M,Conor Berry,Alpha Sigma Phi
2023,M,Lukas Troutman,IUDM
2023,M,Drew Gavette,Sigma Phi Epsilon
2023,M,Ben McKeown,Beta Sigma Psi
2021,M,Robert Strobel,Black Key Bulls
2021,M,Andrew La Valle,Phi Kappa Psi
2021,M,Logan Tisdale,Gray Goat
2021,M,Robert Krahulik,Jetblach
2021,M,Matthew Cooper,Phi Gamma Delta
2021,M,Anoop Chinthala,Beta Sigma Psi
2021,M,Chase Madsen,Chi Alpha
2021,M,Rhys Ivory-Ganja,Sigma Phi Epsilon
2021,F,Evie Peterson,Melanzana Cycling
2021,F,Jessica Hamilton,Alpha Xi Delta
2021,F,Katherine Free,Delta Gamma
2021,F,Anna Young,Kappa Alpha Theta
2021,F,Corrine Miller,Teter
2021,F,Margaret Nicholson,Ski
2021,F,Alex Waples,Alpha Delta Pi
2021,F,Megan Phillips,Alpha Xi Delta
2019,F,Laurie Bignal,Delta Gamma
2019,F,Lauren Britt,Teter
2019,F,Hanna Coppens,Delta Gamma
2019,F,Miller Fahey,Alpha Chi Omega
2019,F,Emily Heldman,Phi Mu
2019,F,Caitlin Kamplain,Theta Phi Alpha
2019,F,Rylee Ollearis,Alpha Chi Omega
2019,M,Jeffrey Beaumont,Phi Delta Theta
2019,M,Noble Guyon,Cutters
2019,M,Caleb Langley,Bears
2019,M,Albert La Valle,Phi Kappa Psi
2019,M,Xavier Martinez,Black Key Bulls
2019,M,Robert Oehler,Jetblach
2019,M,Tom Settle,Sigma Phi Epsilon
2019,M,Logan Tisdale,Gray Goat
2018,M,Samual Stratton,Gray Goat
2018,M,Michael Schmal,Jetblach
2018,M,Kevin Mangel,Black Key Bulls
2018,M,Noble Guyon,Cutters
2018,M,Erik Schwedland,Cutters
2018,M,Joe Krahulik,Sigma Alpha Epsilon
2018,M,Charlie Hicks,Sigma Phi Epsilon
2018,M,Jack McNamara,Beta Theta Pi
2018,F,Lauren Britt,Teter
2018,F,Katie Niesen,Teter
2018,F,Hanna Coppens,Delta Gamma
2018,F,Rachel Brown,Kappa Alpha Theta
2018,F,Sydney Keaton,Kappa Alpha Theta
2018,F,Caitlin Kamplain,Theta Phi Alpha
2018,F,Erin Adair,Alpha Gamma Delta
2018,F,Melissa Ford,Melanzana Cycling
2017,M,Joseph Krahulik,Sigma Alpha Epsilon
2017,M,Reid Wilson,3PH
2017,M,Charlie Hammon,Black Key Bulls
2017,M,Brad Klingele,Gray Goat
2017,M,Xavier Martinez,Black Key Bulls
2017,M,James Welch,Gray Goat
2017,M,Abel Barrera Duran,Delta Chi
2017,M,Thomas Torbik,Gray Goat
2017,F,Kristen Bignal,Delta Gamma
2017,F,Leigh Dukeman,Alpha Omicron Pi
2017,F,Megan Huibregtse,Ski
2017,F,Ali Oppel,Alpha Omicron Pi
2017,F,Grace Bennett,Kappa Alpha Theta
2017,F,Abby Vehrs,Phi Mu
2017,F,Evelyn Malcomb,Kappa Alpha Theta
2017,F,Lexie Kolar,Alpha Chi Omega
2016,M,Charlie Hammon,Black Key Bulls
2016,M,Nick Hartman,Black Key Bulls
2016,M,Kyle Knight,Beta Theta Pi
2016,M,Andrew Krahulik,Sigma Alpha Epsilon
2016,M,Joseph Krahulik,Sigma Alpha Epsilon
2016,M,Rob Lee,Phi Delta Theta
2016,M,Ryan Romenesko,Phi Delta Theta
2016,M,Luke Tormoehlem,Delta Tau Delta
2016,F,Kristen Bignal,Delta Gamma
2016,F,Megan Huibregtse,Ski
2016,F,Fallon Lilly,Melanzana Cycling
2016,F,Libby Momper,Kappa Delta
2016,F,Ali Oppel,Alpha Omicron Pi
2016,F,Michaela Ranft,Alpha Omicron Pi
2016,F,Abby Rogers,Kappa Alpha Theta
2016,F,Tabitha Sherwood,Phoenix
2015,M,Nick Thiery,Cutters
2015,M,Spencer Brauchla,Black Key Bulls
2015,M,Rob Lee,Phi Delta Theta
2015,M,Chris Craig,Beta Theta Pi
2015,M,Nick Torrence,Sigma Phi Epsilon
2015,M,Andrew Krahulik,Sigma Alpha Epsilon
2015,M,Luke Momper,Delta Tau Delta
2015,M,Austin Portolese,Forest
2015,F,Megan Huibregtse,Ski
2015,F,Ashton DeHahn,Teter
2015,F,Jackie Kober,Phi Mu
2015,F,Elizabeth Lieberman,Kappa Alpha Theta
2015,F,Fallon Lilly,Melanzana Cycling
2015,F,Tabitha Sherwood,Phoenix
2015,F,Syndey Schreiber,Alpha Chi Omega
2015,F,Abby Rogers,Kappa Alpha Theta
2014,M,Toby Kemp,Delta Sigma Pi
2014,M,Charlie McClary,Phi Gamma Delta
2014,M,Paul Smith,Delta Tau Delta
2014,M,Rob Lee,Phi Delta Theta
2014,M,Jacob Miller,Black Key Bulls
2014,M,Michael Wilkie,Gray Goat
2014,M,Brian Arfmann,Sigma Chi
2014,M,Andrew Krahulik,Sigma Alpha Epsilon
2014,F,Kelsey Tharnstrom,Alpha Chi Omega
2014,F,Emma Caughlin,Teter
2014,F,Aryn Doll,Chi Omega
2014,F,Ashton DeHahn,Teter
2014,F,Lyndii Hollis,Cru
2014,F,Jeni Gillenwater,Phi Mu
2014,F,Katie Reynolds,Melanzana Cycling
2014,F,Jenny Goodwin,Kappa Kappa Gamma
2013,M,Timothy Nixon,Cutters
2013,M,Kevin Depasse,Cutters
2013,M,Paul Smith,Delta Tau Delta
2013,M,Brant Powell,Black Key Bulls
2013,M,Eric Anderson,Beta Theta Pi
2013,M,William Kragie,Beta Theta Pi
2013,M,Dan Kinn,Black Key Bulls
2013,M,Luke Momper,Delta Tau Delta
2013,F,Kayce Doogs,Delta Gamma
2013,F,Kathleen Chelminiak,Kappa Alpha Theta
2013,F,Melissa Moeller,Wing It
2013,F,Jackie Stevens,Kappa Kappa Gamma
2013,F,Aryn Doll,Chi Omega
2013,F,Christine Ball,Melanzana Cycling
2013,F,Kelsey Phillips,Delta Gamma
2013,F,Emma Caughlin,Teter
2012,M,RJ Stuart,Delta Tau Delta
2012,M,Kevin Depasse,Cutters
2012,M,Rex Rafferty,Black Key Bulls
2012,M,Andrew Morrow,Sigma Chi
2012,M,Steve Sharp,Phi Delta Theta
2012,M,Phil Sojka,Delta Tau Delta
2012,M,Greg Bortz,Acacia
2012,M,Eric Anderson,Beta Theta Pi
2012,F,Kayce Doogs,Delta Gamma
2012,F,Kathleen Chelminiak,Kappa Alpha Theta
2012,F,Melissa Moeller,Wing It
2012,F,Emma Caughlin,Teter
2012,F,Kelsey Phillips,Delta Gamma
2012,F,Lauren Gowdy,Teter
2012,F,Aileen Ottenweller,Army Women
2012,F,Abigail Legg,Wing It
2011,M,RJ Stuart,Delta Tau Delta
2011,M,Adam Fish,Sigma Chi
2011,M,Eric Young,Cutters
