Year,Gender,Place,Name,Team,Finish Time
2023,M,1,Gavin Goode,Black Key Bulls,02:24.91
2023,M,2,Luke Naas,Sigma Alpha Epsilon,02:25.21
2023,M,3,Judah Thompson,CUTTERS,02:25.66
2023,M,4,Torin Kray-Mawhorr,CUTTERS,02:26.42
2023,M,5,Will Pitts,Sigma Phi Epsilon,02:26.56
2023,M,6,Conor Berry,Alpha Sigma Phi,02:26.71
2023,M,7,Josh Herbst,Delta Tau Delta,02:27.63
2023,M,8,William Wagner,Black Key Bulls,02:29.28
2023,M,9,Jack Handlos,Black Key Bulls,02:29.94
2023,M,10,Garrett Cortesi,Alpha Sigma Phi,02:30.46
2023,M,11,Lukas Troutman,IUDM,02:30.53
2023,M,12,Alex Hamilton,Sigma Phi Epsilon,02:32.04
2023,M,13,Peyton Gaskill,CUTTERS,02:32.29
2023,M,14,Carson Etnyre,Phi Kappa Psi,02:32.54
2023,M,15,Carson Heath,Alpha Sigma Phi,02:32.80
2023,M,16,Benjamin McKeown,Beta Sigma Psi,02:33.10
2023,M,17,Spencer Puett,Chi Alpha,02:33.20
2023,M,18,Paul Smith,Beta Sigma Psi,02:33.21
2023,M,19,Andy Yan,Black Key Bulls,02:33.71
2023,M,20,Jacob Koone,CUTTERS,02:34.06
2023,M,21,Jon Petersen,Delta Tau Delta,02:34.07
2023,M,22,Lucas Lemme,Sigma Alpha Epsilon,02:34.07
2023,M,23,Danny Ghalayini,CUTTERS,02:34.20
2023,M,24,Ryan Lo,Chi Alpha,02:34.29
2023,M,25,Michael DuBois,Beta Sigma Psi,02:34.53
2023,M,26,Billy Gregory,Bears,02:35.11
2023,M,27,Eli Konow,Phi Delta Theta,02:35.22
2023,M,28,Conor Furlong,Beta Sigma Psi,02:35.24
2023,M,29,Max Martin,Sigma Phi Epsilon,02:35.44
2023,M,30,Daniel Kang,Black Key Bulls,02:35.54
2023,M,31,Peter Schulz,Alpha Kappa Psi,02:35.95
2023,M,32,Kaleb Cooper,Phi Kappa Psi,02:35.97
2023,M,33,Jake Herendeen,Phi Gamma Delta,02:36.22
2023,M,34,John Gudeman,Phi Gamma Delta,02:36.23
2023,M,35,Brady Jarosinski,Delta Tau Delta,02:36.52
2023,M,36,Paul Lee,3PH Cycling,02:36.66
2023,M,37,Sam Hixson,Gray Goat,02:37.27
2023,M,38,John Bulgarelli,Alpha Kappa Psi,02:37.36
2023,M,39,Bayden Lutz,Sigma Alpha Epsilon,02:37.46
2023,M,40,Dylan Bushelle,Alpha Kappa Psi,02:37.50
2023,M,41,Sean Grim,Chi Alpha,02:37.68
2023,M,42,McGuire Wolfe,Black Key Bulls,02:37.70
2023,M,43,Drew Miller,Phi Delta Theta,02:37.80
2023,M,44,Thomas Reising,Phi Delta Theta,02:37.87
2023,M,45,Ryan Costabile,Gray Goat,02:37.93
2023,M,46,Benjamin Baines,3PH Cycling,02:37.98
2023,M,47,Bennet Gassner,Forest Cycling,02:38.16
2023,M,48,Michael Sears,Gray Goat,02:38.19
2023,M,49,Kyle Preston,CSF,02:38.25
2023,M,50,August Kowalevsky,Sigma Phi Epsilon,02:38.52
2023,M,51,Christopher Hutto,CUTTERS,02:38.67
2023,M,52,Andrew Flynn,Beta Sigma Psi,02:38.68
2023,M,53,Owen Longest,Pi Kappa Alpha,02:39.29
2023,M,54,Tommy Frankiewicz,Alpha Kappa Psi,02:39.41
2023,M,55,Zeke Robertson,Forest Cycling,02:39.69
2023,M,56,Benjamin Nordstrom,Delta Tau Delta,02:39.77
2023,M,57,Jack Lloyd,Delta Tau Delta,02:39.86
2023,M,58,Brian Halvorson,Phi Gamma Nu,02:39.99
2023,M,59,Albert Schafer,Phi Kappa Psi,02:40.04
2023,M,60,Will Beresheim,Phi Gamma Delta,02:40.35
2023,M,61,Brooks Hillenbrand,Lambda Chi Alpha,02:40.41
2023,M,62,Josh Topor,Ghost Cycling,02:40.54
2023,M,63,Mauricio Brito,Cinzano,02:41.21
2023,M,64,Clay Keiser,Ghost Cycling,02:41.22
2023,M,65,Sean Simpson,Delta Tau Delta,02:41.40
2023,M,66,Rhett Skvarna,Sigma Alpha Epsilon,02:41.42
2023,M,67,Hunter Jones,Phi Kappa Psi,02:41.49
2023,M,68,Wyatt Holtan,Delta Sigma Pi,02:41.50
2023,M,69,Ethan Barrows,Cinzano,02:42.11
2023,M,70,Greyson Welsh,Alpha Sigma Phi,02:42.17
2023,M,71,Quinn Peterson,Phi Delta Theta,02:42.41
2023,M,72,Kyle Gabbard,Evanos Scholars,02:42.55
2023,M,73,Rishi Poludasu,3PH Cycling,02:42.84
2023,M,74,Thomas Domian,Novus,02:43.41
2023,M,75,Kan Kikuchi,Black Key Bulls,02:43.82
2023,M,76,Graham Hampton,Bears,02:44.29
2023,M,77,Luke Breier,Alpha Kappa Lambda,02:44.36
2023,M,78,Colin Brown,Phi Kappa Psi,02:44.58
2023,M,79,Dan Lin,CSF,02:44.59
2023,M,80,Thomas Borowski,CUTTERS,02:44.68
2023,M,81,Jeffrey Raley,Sigma Nu,02:44.70
2023,M,82,Ben Vorisek,Forest Cycling,02:44.91
2023,M,83,Josh Church,Ghost Cycling,02:45.04
2023,M,84,Owen Teed,Human Wheels,02:45.15
2023,M,85,Garett Walker,Novus,02:45.58
2023,M,86,Joshua Gritt,CSF,02:45.69
2023,M,87,Max Rezek-TeWinkle,3PH Cycling,02:45.75
2023,M,88,Austin Richards,Lambda Chi Alpha,02:45.84
2023,M,89,Collin Monesmith,Human Wheels,02:45.97
2023,M,90,Quinn Panucci,Sigma Nu,02:46.26
2023,M,91,Jackson Klem,Lambda Chi Alpha,02:46.37
2023,M,92,Alexander Macharaschwili,Human Wheels,02:46.47
2023,M,93,Grayson Lehman,3PH Cycling,02:46.53
2023,M,94,Brian More,Ghost Cycling,02:46.55
2023,M,95,Kevin Murphy,3PH Cycling,02:46.92
2023,M,96,Spencer Perin,Phi Sigma Kappa,02:47.20
