Year,Gender,Place,Team,Finish Time,Laps
2023,M,1,CUTTERS,2:15:28.61,200
2023,M,2,Delta Tau Delta,2:15:28.74,200
2023,M,3,Sigma Phi Epsilon,2:15:28.87,200
2023,M,4,Chi Alpha,2:15:29.65,200
2023,M,5,Phi Kappa Psi,2:15:29.66,200
2023,M,6,Sigma Alpha Epsilon,2:15:32.68,200
2023,M,7,Beta Sigma Psi,2:15:33.47,200
2023,M,8,Phi Delta Theta,2:16:04.68,200
2023,M,9,Phi Gamma Delta,2:15:32.28,199
2023,M,10,IUDM,2:16:06.15,199
2023,M,11,Ghost Cycling,2:15:39.97,198
2023,M,12,3PH,2:15:58.76,198
2023,M,13,Gray Goat,2:15:42.72,197
2023,M,14,Alpha Sigma Phi,2:15:39.72,196
2023,M,15,Forest Cycling,2:15:41.44,196
2023,M,16,Bears,2:15:28.56,195
2023,M,17,Alpha Kappa Psi,2:15:40.12,195
2023,M,18,Sigma Nu,2:15:40.53,194
2023,M,19,Cinzano,2:16:06.36,194
2023,M,20,Novus,2:15:40.28,192
2023,M,21,Evans Scholars,2:16:05.23,192
2023,M,22,CSF Cycling,2:15:39.94,190
2023,M,23,Lambda Chi Alpha,2:15:50.40,190
2023,M,24,Delta Sigma Pi,2:15:42.21,188
2023,M,25,Pi Kappa Alpha,2:15:25.51,187
2023,M,26,Human Wheels,2:16:07.84,186
2023,M,27,Beta Theta Pi,2:15:43.71,185
2023,M,28,Tau Epsilon Phi,2:15:50.23,183
2023,M,29,Alpha Kappa Lambda,2:16:06.11,182
2023,M,30,Wild Aces,2:15:56.86,181
2023,M,31,Phi Sigma Kappa,2:15:40.75,178
2023,M,32,Chi Phi,2:15:46.00,178
2023,M,33,Army,2:15:48.59,177
2023,F,1,Melanzana,1:12:23.66,100
2023,F,2,Teter,1:12:34.25,100
2023,F,3,Alpha Chi Omega,1:12:53.66,100
2023,F,4,Delta Gamma,1:12:53.70,100
2023,F,5,Independent Council,1:12:33.34,99
2023,F,6,Ride On Cycling,1:12:57.92,99
2023,F,7,SKI,1:13:00.70,99
2023,F,8,Kappa Alpha Theta,1:13:01.26,99
2023,F,9,Kappa Kappa Gamma,1:12:29.92,98
2023,F,10,CSF Cycling,1:12:42.47,96
2023,F,11,Alpha Gamma Delta,1:13:04.38,96
2023,F,12,Kappa Delta,1:13:01.10,95
2023,F,13,Novus,1:12:53.61,94
2023,F,14,Sigma Kappa,1:12:28.82,93
2023,F,15,Delta Zeta,1:12:23.49,91
2023,F,16,Phi Gamma Nu,1:12:36.70,90
2023,F,17,Gamma Phi Beta,1:12:29.01,89
2023,F,18,Cru Cycling,1:12:30.21,89
2023,F,19,Alpha Omicron Pi,1:12:30.98,89
2023,F,20,Theta Phi Alpha,1:12:53.60,89
2023,F,21,Phi Mu,1:12:48.28,88
2023,F,22,Bison Cycling,1:12:24.52,85
2023,F,23,Chi Omega,1:12:36.06,85
2023,F,24,Alpha Delta Pi,1:12:24.01,81
2023,F,25,Sigma Delta Tau,1:12:25.49,77
2023,F,26,Alpha Sigma Alpha,1:12:38.87,77
2023,F,27,Alpha Epsilon Phi,1:12:24.88,69
2022,M,1,Phi Delta Theta,2:15:43.47,200
2022,M,2,Sigma Phi Epsilon,2:15:43.66,200
2022,M,3,JETBLACH,2:15:43.78,200
2022,M,4,CUTTERS,2:15:46.78,200
2022,M,5,Gray Goat,2:15:58.66,200
2022,M,6,Phi Kappa Psi,2:15:31.79,199
2022,M,7,Chi Alpha,2:15:32.70,199
2022,M,8,Beta Sigma Psi,2:15:58.35,199
2022,M,9,Black Key Bulls,2:14:30.52,198
2022,M,10,Phi Gamma Delta,2:15:48.05,197
2022,M,11,Alpha Sigma Phi,2:15:30.52,194
2022,M,12,Bears,2:15:54.05,194
2022,M,13,Forest Cycling,2:16:03.95,194
2022,M,14,3PH Cycling,2:15:56.98,193
2022,M,15,CSF Cycling,2:15:32.44,191
2022,M,16,Delta Sigma Pi,2:15:47.44,191
2022,M,17,Ghost Cycling,2:15:59.10,191
2022,M,18,IUDM Cycling,2:15:41.15,189
2022,M,19,Novus Cycling,2:15:32.45,187
2022,M,20,Sigma Alpha Epsilon,2:15:49.74,187
2022,M,21,Beta Theta Pi,2:15:32.45,186
2022,M,22,Wild Aces Cycling,2:15:49.74,183
2022,M,23,Sigma Chi,2:15:39.81,181
2022,M,24,Sigma Nu,2:16:03.81,179
2022,M,25,Alpha Kappa Psi,2:16:09.77,179
2022,M,26,Team 25,2:15:18.07,179
2022,M,27,Delta Upsilon,2:15:34.44,177
2022,M,28,Lambda Chi Alpha,2:15:34.39,176
2022,M,29,Army Cycling,2:15:32.84,172
2022,M,30,Phi Sigma Kappa,2:15:57.54,172
2022,M,31,Phi Gamma Nu,2:15:59.13,171
2022,M,32,Evans Scholars,2:16:11.84,169
2022,M,33,McNutt,2:15:37.42,166
2022,F,1,Melanzana Cycling,1:14:15.06,100
2022,F,2,Kappa Alpha Theta,1:15:28.05,100
2022,F,3,Alpha Chi Omega,1:15:39.03,100
2022,F,4,Delta Gamma,1:15:39.04,100
2022,F,5,Teter,1:15:39.06,100
2022,F,6,Kappa Kappa Gamma,1:15:12.07,98
2022,F,7,Theta Phi Alpha,1:15:01.08,97
2022,F,8,SKI,1:15:11.09,97
2022,F,9,Alpha Delta Pi,1:14:59.07,96
2022,F,10,Kappa Delta,1:15:08.05,96
2022,F,11,CSF Cycling,1:15:35.07,96
2022,F,12,RideOn Cycling,1:15:41.00,96
2022,F,13,Phi Mu,1:15:36.06,93
2022,F,14,Delta Zeta,1:15:01.05,92
2022,F,15,Phi Gamma Nu,1:15:06.06,92
2022,F,16,Independent Council Cycling,1:15:32.00,92
2022,F,17,Alpha Omicron Pi,1:15:01.07,91
2022,F,18,Cru Cycling,1:15:06.01,91
2022,F,19,Alpha Gamma Delta,1:14:53.07,90
2022,F,20,Sigma Kappa,1:15:19.00,89
2022,F,21,Sigma Delta Tau,1:15:15.06,86
2022,F,22,Alpha Epsilon Phi,1:15:09.04,71
2021,M,1,Jetblach,2:13:21.22,200
2021,M,2,Cutters,2:13:21.71,200
2021,M,3,Sigma Phi Epsilon,2:13:22.36,200
2021,M,4,Chi Alpha,2:13:22.37,200
2021,M,5,Phi Kappa Psi,2:13:24.87,200
2021,M,6,Black Key Bulls,2:13:36.94,200
2021,M,7,Gray Goat,2:13:37.00,200
2021,M,8,Beta Sigma Psi,2:13:37.36,200
2021,M,9,Phi Delta Theta,2:13:54.00,200
2021,M,10,Phi Gamma delta,,199
2021,M,11,3PH Cycling,,199
2021,M,12,Bears,,198
2021,M,13,CSF Cycling,,198
2021,M,14,Acacia,,198
2021,M,15,Pi Lambda Phi,,194
2021,M,16,Delta Sigma Pi,,191
2021,M,17,Army Cycling,,189
2021,M,18,Phi Kappa Sigma,,189
2021,M,19,Beta Theta Pi,,189
2021,M,20,Delta Upsilon,,189
2021,M,21,Forest Cycling,,188
2021,M,22,Novus Cycling,,184
2021,M,23,Theta Chi,,171
2021,F,1,Delta Gamma,1:12:30.69,100
2021,F,2,Alpha Xi Delta,1:13:12.38,100
2021,F,3,Kappa Alpha Theta,1:13:13.96,100
2021,F,4,Melanzana Cycling,1:13:14.66,100
2021,F,5,SKI,1:13:44.73,100
2021,F,6,Theta Phi Alpha,,99
2021,F,7,Alpha Chi Omega,,98
2021,F,8,Alpha Delta Pi,,98
2021,F,9,RideOn Cycling,,98
2021,F,10,Teter,,95
2021,F,11,Alpha Omicron Pi,,95
2021,F,12,Phi Gamma Nu,,94
2021,F,13,Independent Council,,93
2021,F,14,Kappa Delta,,92
2021,F,15,Phi Mu,,92
2021,F,16,Sigma Kappa,,92
2021,F,17,Sigma Delta Tau,,85
2019,F,1,Teter,1:12:42.291,100
2019,F,2,Delta Gamma,1:12:42.494,100
2019,F,3,Ski,1:12:44.828,100
2019,F,4,Alpha Chi Omega,1:12:52.329,100
2019,F,5,Independent Council,1:12:52.690,99
2019,F,6,Theta Phi Alpha,1:13:00.364,98
2019,F,7,Phi Mu,1:13:13.189,98
2019,F,8,Alpha Xi Delta,1:13:13.562,98
2019,F,9,Kappa Alpha Theta,1:13:35.102,98
2019,F,10,Melanzana Cycling,1:13:14.589,97
2019,F,11,Alpha Gamma Delta,1:13:19.767,97
2019,F,12,Alpha Delta Pi,1:12:44.599,96
2019,F,13,CSF Cycling,1:13:24.048,96
2019,F,14,Alpha Omicron Pi,1:13:26.840,96
2019,F,15,Alpha Kappa Psi,1:13:27.320,96
2019,F,16,Nursing,1:13:03.103,94
2019,F,17,Cru Cycling,1:13:05.243,94
2019,F,18,Kappa Delta,1:13:12.894,94
2019,F,19,Zeta Tau Alpha,1:12:57.997,93
2019,F,20,Godspeed,1:13:01.769,93
2019,F,21,Sigma Kappa,1:12:50.295,92
2019,F,22,Phi Gamma Nu,1:13:31.626,91
2019,F,23,Gamma Phi Beta,1:12:55.436,90
2019,F,24,Kappa Kappa Gamma,1:13:01.598,90
2019,F,25,Delta Sigma Pi,1:12:58.281,88
2019,F,26,Alpha Sigma Alpha,1:13:01.895,88
2019,F,27,Delta Phi Epsilon,1:13:00.196,83
2019,F,28,Sigma Delta Tau,1:13:36.390,83
2019,F,29,Pi Beta Phi,1:12:55.060,82
2019,F,30,Camp Kesem Cycling,1:12:55.728,82
2019,F,31,Alpha Epsilon Phi,1:13:25.790,73
2019,M,1,Cutters,2:10:25.879,200
2019,M,2,Bears,2:10:26.013,200
2019,M,3,Black Key Bulls,2:10:26.015,200
2019,M,4,Gray Goat,2:10:26.419,200
2019,M,5,3PH Cycling,2:10:26.541,200
2019,M,6,Jetblach,2:10:26.768,200
2019,M,7,Sigma Phi Epsilon,2:10:26.819,200
2019,M,8,Phi Kappa Psi,2:10:27.254,200
2019,M,9,Sigma Alpha Epsilon,2:10:35.649,200
2019,M,10,NEH Cycling,2:10:48.055,200
2019,M,11,Gafombi,2:10:52.008,200
2019,M,12,Phi Delta Theta,2:10:56.685,200
2019,M,13,Forest Cycling,2:10:52.253,199
2019,M,14,Sigma Chi,2:10:52.312,199
2019,M,15,Phi Gamma Delta,2:10:40.874,198
2019,M,16,Beta Sigma Psi,2:10:41.931,198
2019,M,17,Pi Lambda Phi,2:10:27.654,197
2019,M,18,Delta Upsilon,2:10:49.420,197
2019,M,19,Pi Kappa Alpha,2:10:57.770,196
2019,M,20,CSF Cycling,2:10:33.520,195
2019,M,21,Delta Sigma Pi,2:10:41.455,194
2019,M,22,Acacia,2:10:28.171,193
2019,M,23,Delta Chi,2:10:30.818,193
2019,M,24,Phi Gamma Nu,2:10:31.803,193
2019,M,25,Black Ice Cycling,2:10:32.369,192
2019,M,26,Chi Alpha,2:11:04.691,192
2019,M,27,Alpha Kappa Lambda,2:10:35.317,191
2019,M,28,Godspeed,2:10:31.901,190
2019,M,29,Theta Chi,2:10:28.174,186
2019,M,30,Alpha Sigma Phi,2:11:09.890,185
2019,M,31,Phi Kappa Tau,2:11:12.319,180
2019,M,32,Evans Scholars,2:10:35.949,179
2019,M,33,Phi Kappa Sigma,2:10:49.334,172
2018,F,1,Kappa Alpha Theta,1:13:40.134,100
2018,F,2,Delta Gamma,1:13:40.985,100
2018,F,3,Teter,1:13:41.164,100
2018,F,4,Alpha Chi Omega,1:13:.41.193,100
2018,F,5,Melanzana Cycling,1:13:41.202,100
2018,F,6,Theta Phi Alpha,1:13:41.316,100
2018,F,7,Phi Mu,1:13:41.696,100
2018,F,8,Ski,1:13:41.983,100
2018,F,9,RideOn,1:13:45.953,100
2018,F,10,Alpha Omicron Pi,1:13:49.091,100
2018,F,11,Alpha Sigma Alpha,1:13:57.653,100
2018,F,12,Independent Council,1:14:09.256,100
2018,F,13,Alpha Gamma Delta,1:13:42.244,99
2018,F,14,Alpha Xi Delta,1:13:42.505,99
2018,F,15,Delta Sigma Pi,1:14:04.287,99
2018,F,16,Alpha Delta Pi,1:13:48.060,98
2018,F,17,Cru Cycling,1:14:09.150,98
2018,F,18,CSF Cycling,1:14:23.345,98
2018,F,19,Kappa Delta,1:13:47.996,97
2018,F,20,Phi Gamma Nu,1:14:01.046,96
2018,F,21,Sigma Kappa,1:14:12.387,96
2018,F,22,Chi Omega,1:14:01.319,95
2018,F,23,IU Nursing,1:13:42.614,93
2018,F,24,Delta Zeta,1:14:10.370,93
2018,F,25,Kappa Kappa Gamma,1:13:42.361,92
2018,F,26,Centripedal Force,1:13:56.125,91
2018,F,27,Alpha Phi,1:13:58.032,90
2018,F,28,Gamma Phi Beta,1:14:29.995,89
2018,F,29,Camp Kesem Cycling,1:13:48.739,87
2018,F,30,Sigma Delta Tau,1:13:53.152,85
2018,F,31,Delta Phi Epsilon,1:14:07.960,84
2018,F,32,Alpha Epsilon Phi,1:13:47.779,77
2018,M,1,Cutters,2:10:19.861,200
2018,M,2,Gray Goat,2:10:20.014,200
2018,M,3,Black Key Bulls,2:10:20.244,200
2018,M,4,Sigma Phi Epsilon,2:10:20.619,200
2018,M,5,Jetblach,2:10:20.748,200
2018,M,6,Sigma Alpha Epsilon,2:10:20.757,200
2018,M,7,Bears,2:10:20.869,200
2018,M,8,Beta Theta Pi,2:10:21.069,200
2018,M,9,Phi Kappa Psi,2:10:21.385,200
2018,M,10,3PH Cycling,2:10:21.562,200
2018,M,11,Delta Chi,2:10:21.683,200
2018,M,12,CSF Cycling,2:10:43.287,200
2018,M,13,Kappa Sigma,2:10:43.981,200
2018,M,14,Sigma Chi,2:10:44.405,200
2018,M,15,Forest Cycling,2:10:46.371,200
2018,M,16,Phi Delta Theta,2:11:07.322,200
2018,M,17,Phi Gamma Delta,2:11:12.345,200
2018,M,18,Delta Upsilon,2:10:44.929,196
2018,M,19,Pi Lambda Phi,2:11:06.985,195
2018,M,20,Acacia,2:11:13.175,194
2018,M,21,Chi Alpha,2:11:16.296,194
2018,M,22,Black Ice Cycling,2:10:47.161,193
2018,M,23,Pi Kappa Alpha,2:10:50.819,192
2018,M,24,Phi Sigma Kappa,2:10:53.119,192
2018,M,25,Alpha Epsilon Pi,2:10:50.626,191
2018,M,26,Delta Sigma Phi,2:10:45.872,190
2018,M,27,Beta Sigma Psi,2:10:52.226,186
2018,M,28,Alpha Kappa Lambda,2:10:49.189,185
2018,M,29,Alpha Sigma Phi,2:10:50.814,184
2018,M,30,Evans Scholars,2:11:06.255,179
2018,M,31,Lambda Chi Alpha,2:11:12.649,174
2018,M,32,Young Pioneers,2:10:43.394,167
2018,M,33,Theta Chi,2:10:58.048,161
2017,M,1,Black Key Bulls,02:12:29.518,200
2017,M,2,Gray Goat,02:12:41.262,200
2017,M,3,Cutters,02:12:41.639,200
2017,M,4,Beta Theta Pi,02:12:42.104,200
2017,M,5,Sigma Alpha Epsilon,02:12:58.817,200
2017,M,6,Bears,02:12:59.964,200
2017,M,7,Sigma Chi,02:12:31.500,199
2017,M,8,Sigma Phi Epsilon,02:12:31.897,199
2017,M,9,Phi Gamma Delta,02:12:38.265,199
2017,M,10,3PH,02:12:38.447,199
2017,M,11,Forest Cycling,02:12:44.240,199
2017,M,12,Delta Chi,02:12:30.071,198
2017,M,13,Lambda Chi Alpha,02:12:36.693,198
2017,M,14,CSF Cycling (M),02:12:36.928,198
2017,M,15,Pi Kappa Alpha,02:12:36.429,197
2017,M,16,Kappa Sigma,02:12:36.368,195
2017,M,17,JETBLACH,02:12:37.188,195
2017,M,18,Acacia,02:12:40.387,192
2017,M,19,Pi Lambda Phi,02:12:30.035,191
2017,M,20,Phi Sigma Kappa,02:12:56.485,188
2017,M,21,Delta Sigma Pi (M),02:13:08.180,188
2017,M,22,Phi Delta Theta,02:13:07.948,187
2017,M,23,Alpha Sigma Phi,02:12:58.466,186
2017,M,24,Sigma Nu,02:12:59.761,186
2017,M,25,Alpha Epsilon Pi,02:13:05.866,186
2017,M,26,Theta Chi,02:12:38.414,185
2017,M,27,Black Ice Cycling,02:12:59.014,185
2017,M,28,Beta Sigma Psi,02:13:07.342,183
2017,M,29,Tau Kappa Epsilon,02:13:09.847,182
2017,M,30,Evans Scholars,02:12:30.305,180
2017,M,31,Young Life Cycling (M),02:12:31.462,173
2017,M,32,Sigma Pi,02:12:42.619,167
2017,M,33,Sigma Alpha Mu,02:12:45.335,103
2017,F,1,Kappa Alpha Theta,01:09:49.116,100
2017,F,2,Alpha Omicron Pi,01:09:53.065,100
2017,F,3,Delta Gamma,01:09:59.115,100
2017,F,4,Alpha Chi Omega,01:09:59.235,100
2017,F,5,SKI,01:09:59.987,100
2017,F,6,Melanzana Cycling,01:09:51.849,99
2017,F,7,Alpha Xi Delta,01:10:00.206,99
2017,F,8,Kappa Delta,01:10:00.606,99
2017,F,9,RideOn,01:10:00.645,99
2017,F,10,Teter,01:10:03.434,99
2017,F,11,Phi Mu,01:10:32.895,99
2017,F,12,Alpha Gamma Delta,01:09:55.735,98
2017,F,13,Independent Council Cycling,01:10:03.095,98
2017,F,14,Alpha Sigma Alpha,01:10:28.313,98
2017,F,15,Theta Phi Alpha,01:09:51.541,97
2017,F,16,Cru Cycling,01:10:02.607,97
2017,F,17,Sigma Kappa,01:09:57.900,96
2017,F,18,Alpha Delta Pi,01:10:01.035,96
2017,F,19,Delta Sigma Pi (W),01:10:01.278,96
2017,F,20,Phi Gamma Nu,01:10:29.213,95
2017,F,21,Delta Zeta,01:10:14.771,94
2017,F,22,CSF Cycling,01:10:15.013,94
2017,F,23,Sweet Potato Club,01:09:54.369,92
2017,F,24,Kappa Kappa Gamma,01:09:59.403,92
2017,F,25,Delta Phi Epsilon,01:10:17.922,91
2017,F,26,IU Nursing,01:09:50.138,88
2017,F,27,Camp Kesem Cycling,01:10:36.583,86
2017,F,28,Gamma Phi Beta,01:10:33.196,85
2017,F,29,Wing It Cycling,01:09:51.622,84
2017,F,30,Sigma Delta Tau,01:10:13.674,83
2017,F,31,Alpha Phi,01:09:57.974,80
2017,F,32,Alpha Epsilon Phi,01:10:10.218,74
2016,M,1,Delta Tau Delta,02:05:12.031,200
2016,M,2,Sigma Alpha Epsilon,02:05:13.091,200
2016,M,3,Black Key Bulls,02:05:13.397,200
2016,M,4,Cutters,02:05:18.891,200
2016,M,5,3PH Cycling,02:05:36.139,200
2016,M,6,Gray Goat,02:05:33.798,199
2016,M,7,Beta Theta Pi,02:05:36.303,199
2016,M,8,Phi Delta Theta,02:05:19.296,198
2016,M,9,Sigma Nu,02:05:35.861,198
2016,M,10,Forest Cycling,02:05:53.798,198
2016,M,11,Phi Gamma Delta,02:05:54.191,197
2016,M,12,Sigma Chi,02:05:33.707,196
2016,M,13,Sigma Phi Epsilon,02:05:34.557,195
2016,M,14,Wright,02:05:35.613,195
2016,M,15,Delta Chi,02:05:36.757,194
2016,M,16,Pi Kappa Alpha,02:05:33.586,192
2016,M,17,Theta Chi,02:05:33.790,192
2016,M,18,Lambda Chi Alpha,02:05:35.093,192
2016,M,19,CSF,02:05:53.918,190
2016,M,20,Acacia,02:05:50.275,186
2016,M,21,Alpha Sigma Phi,02:05:47.331,185
2016,M,22,Phi Kappa Sigma,02:05:14.960,184
2016,M,23,Pi Lambda Phi,02:05:44.818,184
2016,M,24,Pi Kappa Phi,02:05:15.387,183
2016,M,25,Alpha Epsilon Pi,02:05:19.634,182
2016,M,26,Sigma Alpha Mu,02:05:56.633,180
2016,M,27,Phi Sigma Kappa,02:05:23.986,177
2016,M,28,Beta Sigma Psi,02:05:18.064,176
2016,M,29,Young Pioneer,02:05:18.149,176
2016,M,30,Young Life,02:05:42.137,175
2016,M,31,Delta Sigma Pi,02:05:32.170,171
2016,M,32,Tau Kappa Epsilon,02:05:33.984,161
2016,M,33,Zeta Beta Tau,02:05:48.012,156
2016,F,1,Phoenix,01:09:11.744,100
2016,F,2,Delta Gamma,01:09:11.795,100
2016,F,3,Teter,01:09:13.086,100
2016,F,4,Kappa Alpha Theta,01:09:13.319,100
2016,F,5,Alpha Omicron Pi,01:09:14.356,100
2016,F,6,Phi Mu,01:09:42.395,100
2016,F,7,Alpha Chi Omega,01:09:15.021,99
2016,F,8,Ski,01:09:15.938,98
2016,F,9,CSF,01:09:14.775,97
2016,F,10,Alpha Sigma Alpha,01:09:16.172,97
2016,F,11,Kappa Delta,01:09:21.842,97
2016,F,12,Alpha Gamma Delta,01:09:30.836,97
2016,F,13,Alpha Xi Delta,01:09:39.047,97
2016,F,14,Kappa Kappa Gamma,01:09:25.124,96
2016,F,15,Melanzana,01:09:25.879,96
2016,F,16,RideOn,01:09:38.881,95
2016,F,17,Cru,01:09:31.416,94
