2022,1,Phi Kappa Psi
2022,2,Black Key Bulls
2022,3,Cutters
2022,4,Gray Goat
2022,5,Sigma Phi Epsilon
2022,6,Bears
2022,7,Phi Gamma Delta
2022,8,Phi Delta Theta
2022,9,JetBlach
2022,10,Beta Sigma Psi
2022,11,Chi Alpha
2022,12,Forest Cycling
2022,13,Delta Sigma Pi
2022,14,Sigma Alpha Epsilon
2022,15,Alpha Sigma Phi
2022,16,Lamda Chi Alpha
2022,17,CSF Cycling Men
2022,18,IUDM Cycling
2022,19,Beta Theta Pi
2022,20,Alpha Kappa Psi
2022,21,3PH Cycling
2022,22,Evan's Scholars
2022,23,Wild Aces Cycling
2022,24,Delta Upsilon
2022,25,Pi Kappa Alpha
2022,26,Sigma Chi
2022,27,Ghost Cycling
2022,28,Phi Gamma Nu Men
2022,29,Army Cycling
2022,30,Novus Cycling
2022,31,Phi Sigma Kappa
2022,32,Sigma Nu
2022,33,McNutt
2022,34,NEH Cycling
2019,1,Cutters
2019,2,Phi Kappa Psi
2019,3,Phi Delta Theta
2019,4,Forest Cycling
2019,5,Black Key Bulls
2019,6,Sigma Phi Epsilon
2019,7,Theta Chi
2019,8,Godspeed
2019,9,Gafombi
2019,10,Sigma Chi
2019,11,NEH Cycling
2019,12,Bears
2019,13,Phi Gamma Delta
2019,14,Jetblach
2019,15,Acacia
2019,16,Delta Sigma Pi
2019,17,Alpha Kappa Lambda
2019,18,Chi Alpha
2019,19,Phi Kappa Tau
2019,20,CSF
2019,21,3PH
2019,22,Alpha Sigma Phi
2019,23,Phi Gamma Nu
2019,24,Gray Goat
2019,25,Delta Upsilon
2019,26,Beta Sigma Psi
2019,27,Phi Kappa Sigma
2019,28,Sigma Alpha Epsilon
2019,29,Evans Scholars
2019,30,Pi Lambda Phi
2019,31,Pi Kappa Alpha
2019,32,Delta Chi
2019,33,Black Ice
2018,1,Cutters
2018,2,Kappa Sigma
2018,3,Sigma Alpha Epsilon
2018,4,Sigma Phi Epsilon
2018,5,Pi Lambda Phi
2018,6,Phi Gamma Delta
2018,7,Sigma Chi
2018,8,Black Key Bulls
2018,9,Forest Cycling
2018,10,Chi Alpha
2018,11,Delta Chi
2018,12,Phi Kappa Psi
2018,13,Alpha Epsilon Pi
2018,14,Gray Goat
2018,15,Phi Delta Theta
2018,16,Bears
2018,17,Alpha Sigma Phi
2018,18,Pi Kappa Alpha
2018,19,Young Pioneers
2018,20,3PH
2018,21,Beta Theta Pi
2018,22,Lambda Chi Alpha
2018,23,Alpha Kappa Lambda
2018,24,Black Ice
2018,25,CSF
2018,26,Evans Scholars
2018,27,Acacia
2018,28,Delta Sigma Phi
2018,29,Delta Upsilon
2018,30,Jetblach
2018,31,Beta Sigma Psi
2018,32,Phi Sigma Kappa
2018,33,Theta Chi
2018,0,Cru
2018,0,Phi Kappa Sigma
2018,0,Phi Kappa Tau
2018,0,Delta Sigma Pi
2018,0,Sigma Pi
2017,1,Sigma Alpha Epsilon
2017,2,Beta Theta Pi
2017,3,Cutters
2017,4,Forest Cycling
2017,5,Sigma Phi Epsilon
2017,6,Sigma Chi
2017,7,Lambda Chi Alpha
2017,8,Black Key Bulls
2017,9,3PH
2017,10,JETBLACH
2017,11,Bears
2017,12,CSF Cycling (M)
2017,13,Phi Sigma Kappa
2017,14,Phi Gamma Delta
2017,15,Gray Goat
2017,16,Tau Kappa Epsilon
2017,17,Pi Kappa Alpha
2017,18,Alpha Sigma Phi
2017,19,Kappa Sigma
2017,20,Theta Chi
2017,21,Acacia
2017,22,Phi Delta Theta
2017,23,Sigma Nu
2017,24,Sigma Alpha Mu
2017,25,Alpha Epsilon Pi
2017,26,Sigma Pi
2017,27,Evans Scholars
2017,28,Delta Sigma Pi (M)
2017,29,Black Ice Cycling
2017,30,Delta Chi
2017,31,Pi Lambda Phi
2017,32,Beta Sigma Psi
2017,33,Young Life Cycling (M)
2016,1,Cutters
2016,2,Delta Tau Delta
2016,3,Black Key Bulls
2016,4,Wright
2016,5,Phi Delta Theta
2016,6,Gray Goat
2016,7,Pi Kappa Alpha
2016,8,Sigma Alpha Epsilon
2016,9,CSF (M)
2016,10,Beta Theta Pi
2016,11,3PH
2016,12,Sigma Chi
2016,13,Alpha Sigma Phi
2016,14,Lambda Chi Alpha
2016,15,Acacia
2016,16,Alpha Epsilon Pi
2016,17,Sigma Alpha Mu
2016,18,Delta Chi
2016,19,Pi Kappa Phi
2016,20,Phi Kappa Sigma
2016,21,Sigma Nu
2016,22,Sigma Phi Epsilon
2016,23,Forest Cycling
2016,24,Young Pioneer
2016,25,Pi Lambda Phi
2016,26,Phi Gamma Delta
2016,27,Young Life
2016,28,Phi Sigma Kappa
2016,29,Beta Sigma Psi
2016,30,Theta Chi
2016,31,Tau Kappa Epsilon
2016,32,Zeta Beta Tau
2016,33,Delta Sigma Pi
2015,1,Wright
2015,2,Sigma Phi Epsilon
2015,3,Evans Scholars
2015,4,Cutters
2015,5,Pi Kappa Alpha
2015,6,Black Key Bulls
2015,7,Lamda Chi Alpha
2015,8,Phi Delta Theta
2015,9,Sigma Alpha Epsilon
2015,10,Delta Tau Delta
2015,11,Forest
2015,12,3PH Cycling
2015,13,Kappa Sigma
2015,14,Sigma Nu
