Year,Gender,Place,Team,Finish Time
2022,M,1,Phi Kappa Psi,02:30.9
2022,M,2,Black Key Bulls,02:32.1
2022,M,3,Cutters,02:33.7
2022,M,4,Gray Goat,02:34.5
2022,M,5,Sigma Phi Epsilon,02:34.7
2022,M,6,Bears,02:34.9
2022,M,7,Phi Gamma Delta,02:36.3
2022,M,8,Phi Delta Theta,02:37.4
2022,M,9,JetBlach,02:38.4
2022,M,10,Beta Sigma Psi,02:39.3
2022,M,11,Chi Alpha,02:40.4
2022,M,12,Forest Cycling,02:40.8
2022,M,13,Delta Sigma Pi,02:41.6
2022,M,14,Sigma Alpha Epsilon,02:42.3
2022,M,15,Alpha Sigma Phi,02:42.7
2022,M,16,Lamda Chi Alpha,02:42.8
2022,M,17,CSF Cycling Men,02:43.9
2022,M,18,IUDM Cycling,02:44.1
2022,M,19,Beta Theta Pi,02:45.9
2022,M,20,Alpha Kappa Psi,02:46.0
2022,M,21,3PH Cycling,02:47.0
2022,M,22,Evan's Scholars,02:47.3
2022,M,23,Wild Aces Cycling,02:47.5
2022,M,24,Delta Upsilon,02:47.9
2022,M,25,Pi Kappa Alpha,02:48.8
2022,M,26,Sigma Chi,02:49.5
2022,M,27,Ghost Cycling,02:50.4
2022,M,28,Phi Gamma Nu Men,02:50.7
2022,M,29,Army Cycling,02:50.8
2022,M,30,Novus Cycling,02:52.3
2022,M,31,Phi Sigma Kappa,02:54.8
2022,M,32,Sigma Nu,03:00.3
2022,M,33,McNutt,03:01.9
2022,M,34,NEH Cycling,DNF
2022,F,1,Kappa Alpha Theta,02:55.1
2022,F,2,Alpha Chi Omega,02:56.8
2022,F,3,Theta Phi Alpha,02:57.9
2022,F,4,SKI,02:59.8
2022,F,5,Kappa Kappa Gamma,03:01.4
2022,F,6,Cru Cycling,03:03.6
2022,F,7,Kappa Delta,03:03.6
2022,F,8,Teter,03:04.8
2022,F,9,CSF Cycling,03:05.7
2022,F,10,Delta Gamma,03:05.8
2022,F,11,Alpha Gamma Delta,03:05.9
2022,F,12,Phi Gamma Nu,03:09.3
2022,F,13,Melanzana Cycling,03:11.5
2022,F,14,Independent Council Cycling,03:15.6
2022,F,15,RideOn Cycling,03:15.7
2022,F,16,Delta Zeta,03:16.1
2022,F,17,Sigma Kappa,03:17.4
2022,F,18,Alpha Omicron Pi,03:18.4
2022,F,19,Alpha Delta Pi,03:21.6
2022,F,20,Phi Mu,03:25.8
2022,F,21,Sigma Delta Tau,03:52.7
2022,F,22,Alpha Epsilon Phi,04:03.2
2019,F,1,SKI,02:39.21
2019,F,2,Teter,02:42.90
2019,F,3,Delta Gamma,02:45.71
2019,F,4,Cru,02:46.31
2019,F,5,Alpha Xi Delta,02:47.62
2019,F,6,CSF,02:50.74
2019,F,7,Alpha Gamma Delta,02:51.91
2019,F,8,Alpha Delta Pi,02:52.99
2019,F,9,Alpha Chi Omega,02:55.33
2019,F,10,Kappa Delta,02:56.13
2019,F,11,Kappa Alpha Theta,02:57.08
2019,F,12,Zeta Tau Alpha,02:57.68
2019,F,13,Alpha Omicron Pi,02:59.59
2019,F,14,Phi Mu,02:59.63
2019,F,15,Phi Gamma Nu,03:00.82
2019,F,16,Delta Sigma Pi,03:00.89
2019,F,17,Theta Phi Alpha,03:01.64
2019,F,18,RideOn,03:02.02
2019,F,19,Alpha Kappa Psi,03:02.77
2019,F,20,Alpha Sigma Alpha,03:02.99
2019,F,21,Independent Council,03:03.94
