Year,Gender,Name,Team
2023,F,Dorothy Curran-Munoz,Novus
2023,F,Cecilia Ball,Teter Cycling
2023,F,Lauren Etnyre,Melanzana Cycling
2023,F,Allison Edgar,Teter Cycling
2023,M,Judah Thompson,CUTTERS
2023,M,Alex Hamilton,Sigma Phi Epsilon
2023,M,Max Martin,Sigma Phi Epsilon
2023,M,Paul Lee,3PH
2021,M,Torin Kray-Mawhorr,Cutters
2021,M,Jake Richards,Gray Goat
2021,M,Braden Clements,Jetblach
2021,M,Trent Hohenstreiter,Jetblach
2021,F,Audrey La Valle,Kappa Alpha Theta
2021,F,Olivia Hubbart,Kappa Alpha Theta
2021,F,Jessica Schlueter,Kappa Alpha Theta
2021,F,Kensington Knowling,Delta Gamma
2019,F,Maddie McKay,Melanzana Cycling
2019,F,Corrine Miller,Teter
2019,F,Esma Taylor,Kappa Alpha Theta
2019,F,Erika Wilson,Teter
2019,M,Fergus Arthur,NEH Cyling
2019,M,Victor Grossling,Cutters
2019,M,Andrew La Valle,Phi Kappa Psi
2019,M,Robert Strobel,Black Key Bulls
2018,M,Tom Settle,Sigma Phi Epsilon
2018,M,Robert Krahulik,Sigma Alpha Epsilon
2018,M,Robery Oehler,Jetblach
2018,M,Albert La Valle,Phi Kappa Psi
2018,F,Madelynne Sigg,Independent Council
2018,F,Erika Arakawa,Kappa Alpha Theta
2018,F,Laura Anna Watanabe,Kappa Alpha Theta
2018,F,Rylee Ollearis,Alpha Chi Omega
2017,M,Kevin Mangel,Black Key Bulls
2017,M,Aaron Zollman,Jetblach
2017,M,Noah Voyles,Black Key Bulls
2017,M,Ben Thompson,3PH
2017,F,Hanna Coppens,Delta Gamma
2017,F,Rachel Brown,Kappa Alpha Theta
2017,F,Sydney Keaton,Kappa Alpha Theta
2017,F,Ivy Moore,Ski
2016,M,Jake Cohen,3PH
2016,M,Riley Figg,Wright
2016,M,Xavier Martinez,Black Key Bulls
2016,M,Erik Schwedland,Cutters
2016,F,Grace Bennett,Kappa Alpha Theta
2016,F,Nicole Coglan,Phi Mu
2016,F,Leigh Dukeman,Alpha Omicron Pi
2016,F,Melissa Ragatz,Phoenix
2015,M,Charlie Hicks,Sigma Phi Epsilon
2015,M,Reid Wilson,3PH
2015,M,Tyler Hart,Black Key Bulls
2015,M,Joseph Krahulik,Sigma Alpha Epsilon
2015,F,Ali Oppel,Alpha Omicron Pi
2015,F,Ashley Williams,Ski
2015,F,Brooke Hannon,CSF
2015,F,Hallie Pederson,Cru Cycling
2014,M,Christopher Craig,Beta Theta Pi
2014,M,Spencer Brauchla,Black Key Bulls
2014,M,Steven Gomez,Black Key Bulls
2014,M,Nick Thiery,Cutters
2014,F,Julie Daugherty,Melanzana Cycling
2014,F,Megan Huibregtse,Ski
2014,F,Breanna McGinn,Kappa Alpha Theta
2014,F,Tabitha Sherwood,Collins
2013,M,Rob Lee,Phi Delta Theta
2013,M,Scott McClary,Phi Gamma Delta
2013,M,Jacob Miller,Black Key Bulls
2013,M,Nick Sapp,Delta Tau Delta
2013,F,Ellexis Howey,Delta Gamma
2013,F,Ashton DeHahn,Teter
2013,F,Jackie Kober,Phi Mu
2013,F,Bonnie Bailet,Cru Cycling
2012,M,Will Kragie,Beta Theta Pi
2012,M,Luke Momper,Delta Tau Delta
2012,M,Brant Powell,Black Key Bulls
2012,M,Thomas Walsh,Cutters
2012,F,Megan Burger,Collins
2012,F,Carly Dean,Wing It
2012,F,Jana Kovich,Delta Gamma
2012,F,Laura Miller,Wing It
2011,M,Kevin Depasse,Cutters
2011,M,Dan Kinn,Black Key Bulls
2011,M,Sven Gartner,Phi Delta Theta
2011,M,Rob Smallman,Hoosier Climber?
2011,F,Kathleen Chelminiak,Kappa Alpha Theta
2011,F,Emma Caughlin,Teter
2011,F,Kelsey Tharnstrom,Alpha Chi Omega
2011,F,Kayce Doogs,Delta Gamma
2010,M,Eric Anderson,Beta Theta Pi
2010,M,RJ Stuart,Delta Tau Delta
2010,M,Todd Leone,Phi Gamma Delta
2010,M,Adam Fish,Sigma Chi
2010,F,Amy Dickman,Kappa Alpha Theta
2010,F,Susan Laurie,Teter
2010,F,Kelsey Phillips,Delta Gamma
2010,F,Dana VanderGenugten,Teter
2009,M,David Ellis,Phi Gamma Delta
