Year,Gender,Place,Team,Finish Time,Finals Time
2023,M,1,CUTTERS,09:27.71,n/a
2023,M,2,Sigma Phi Epsilon,09:27.96,n/a
2023,M,3,Delta Tau Delta,09:35.89,
2023,M,4,Black Key Bulls 1,09:36.29,
2023,M,5,Alpha Sigma Phi,09:49.68,
2023,M,6,Chi Alpha,09:50.18,
2023,M,7,Sigma Alpha Epsilon,09:52.68,
2023,M,8,Phi Gamma Delta 2,09:55.76,
2023,M,9,Ghost Cycling,09:59.78,
2023,M,10,Phi Kappa Psi,10:02.25,
2023,M,11,Phi Delta Theta,10:02.55,
2023,M,12,Beta Sigma Psi,10:04.40,
2023,M,13,Gray Goat,10:16.74,
2023,M,14,3PH Cycling,10:16.79,
2023,M,15,Cinzano,10:19.18,
2023,M,16,Alpha Kappa Psi,10:21.15,
2023,M,17,IUDM,10:22.64,
2023,M,18,Forest Cycling 1,10:27.46,
2023,M,19,CSF Cycling (M),10:28.91,
2023,M,20,Bears,10:30.90,
2023,M,21,Human Wheels,10:33.60,
2023,M,22,Phi Kappa Alpha,10:34.60,
2023,M,23,Sigma Nu,10:36.17,
2023,M,24,Beta Theta Pi,10:40.52,
2023,M,25,Delta Sigma Pi,10:46.16,
2023,M,26,Phi Kappa Psi 2,10:48.25,
2023,M,27,Team Seabiscuit,10:51.06,
2023,M,28,Novus Cycling (M),10:53.05,
2023,M,29,Phi Gamma Nu (M),11:02.37,
2023,M,30,3PH Cycling 2,11:03.89,
2023,M,31,XSF,11:04.79,
2023,M,32,Tau Epsilon Phi,11:15.73,
2023,M,33,Alpha Kappa Lambda,11:19.64,
2023,M,34,Delta Tau Delta B,11:22.65,
2023,M,35,Wild Aces,11:35.12,
2023,M,36,Forest Cycling 2,11:35.82,
2023,M,37,Godspeed,12:12.25,
2023,M,38,Team Secretariat,12:19.64,
2023,M,39,Phi Gamma Delta,12:51.19,
2023,F,1,Teter,10:38.68,10:43.11
2023,F,2,Melanzana,11:00.23,10:51.02
2023,F,3,Delta Gamma,11:01.96,
2023,F,4,SKI,11:21.37,
2023,F,5,Kappa Alpha Theta 1,11:27.41,
